PLOT,herbivory_trt,CH4_Flux,NEE,SoilTemp_1
21C,Ctl,-5.708030373,-0.072987056,10.6
22C,Ctl,3.301540905,0.475255463,15.6
23C,Ctl,-1.004404766,0.485916744,10
24C,Ctl,16.49052197,-0.028536595,12.2
15C,Ctl,17.18953978,2.391257958,6.1
11C,Ctl,15.73611824,0.008257762,7.8
28C,Ctl,-1.029424284,-0.15839268,20
7C,Ctl,1.105178362,3.298566635,11.1
17C,Ctl,45.84941939,1.368325051,18.3
19C,Ctl,49.64696337,1.02565138,22.2
18C,Ctl,61.80188653,1.415129322,20
29C,Ctl,22.3964319,0.401240716,12.2
22E,Ex,3.578678369,0.555690004,12.2
23E,Ex,5.430814628,0.098278535,13.3
24E,Ex,20.79666687,0.675467699,15
21E,Ex,9.392804512,0.289810615,16.1
7E,Ex,1.089676669,0.508245449,7.2
15E,Ex,2.897395511,0.032188254,10
11E,Ex,17.19613203,0.324120256,10.6
28E,Ex,-35.4107866,0.87324055,11.1
18E,Ex,-18.33569418,-1.325673303,12.8
17E,Ex,2.862833883,-1.665281272,15
19E,Ex,16.90386567,-0.07105476,16.1
29E,Ex,42.17478757,-0.534577384,20
