"year","doy","Lat","Long","Tmax","Tmin","Prcp","elev","siteDesc"
2010,97,42.283501,-83.771729,16.9,3.71,259,275,"Urban"
2010,91,40.866283,-73.875717,18.82,8.09,414,21,"Urban"
2010,91,40.866283,-73.875717,18.82,8.09,414,21,"Urban"
2010,92,40.866283,-73.875717,18.82,8.09,414,21,"Urban"
2010,112,42.382767,-85.343567,17.51,4.57,219,280,"Rural"
2010,98,37.227528,-80.422066,18.96,5.41,243,620,"Urban"
2010,98,37.227528,-80.422066,18.96,5.41,243,620,"Urban"
2010,98,37.227528,-80.422066,18.96,5.41,243,620,"Urban"
2010,97,42.163124,-88.43824,16.79,4.46,276,271,"Urban"
2010,96,35.914001,-79.042,23.05,9.15,228,128,"Urban"
2010,96,35.914001,-79.042,23.05,9.15,228,128,"Urban"
2010,96,37.227661,-80.422279,18.96,5.41,243,620,"Urban"
2010,98,37.227661,-80.422279,18.96,5.41,243,620,"Urban"
2010,96,37.227661,-80.422279,18.96,5.41,243,620,"Urban"
2010,97,37.22863,-80.418022,18.96,5.41,243,625,"Urban"
2010,97,37.229164,-80.417206,18.96,5.41,243,626,"Urban"
2010,95,37.230095,-80.419609,18.95,5.39,240,635,"Urban"
2010,84,37.227619,-80.422264,18.96,5.41,243,620,"Urban"
2010,84,37.227619,-80.422264,18.96,5.41,243,620,"Urban"
2010,84,37.227619,-80.422264,18.96,5.41,243,620,"Urban"
2010,99,40.973251,-96.757942,17.16,4.74,198,398,"Rural"
2010,83,36.902622,-76.206039,21.68,10.59,295,3,"Urban"
2010,87,36.904579,-76.19651,21.62,10.65,293,2,"Urban"
2010,132,36.904579,-76.19651,21.62,10.65,293,2,"Urban"
2010,83,36.90799,-76.196022,21.62,10.65,293,1,"Urban"
2011,113,42.283501,-83.771729,13.04,2.3,461,275,"Urban"
2011,112,40.866283,-73.875717,16.16,6.92,504,21,"Urban"
2011,112,40.866283,-73.875717,16.16,6.92,504,21,"Urban"
2011,112,40.866283,-73.875717,16.16,6.92,504,21,"Urban"
2011,121,42.382767,-85.343567,13.4,2.73,406,280,"Rural"
2011,69,34.928726,-79.782715,23.89,10.21,328,84,"Urban"
2011,80,36.904579,-76.19651,21.53,10.7,166,2,"Urban"
2011,80,36.90799,-76.196022,21.53,10.7,166,1,"Urban"
2011,104,40.710247,-77.956192,15.14,3.85,530,368,"Rural"
2011,124,43.705055,-70.61145,11.77,1.21,446,73,"Rural"
2011,152,43.705055,-70.61145,11.77,1.21,446,73,"Rural"
2011,103,35.517879,-82.469681,18.83,6.13,480,786,"Rural"
2011,123,43.631012,-70.406815,11.6,1.87,431,30,"Rural"
2011,119,44.050777,-69.432732,10.47,1.58,428,51,"Rural"
2011,119,44.050777,-69.432732,10.47,1.58,428,51,"Rural"
2011,119,44.050777,-69.432732,10.47,1.58,428,51,"Rural"
2011,119,44.050777,-69.432732,10.47,1.58,428,51,"Rural"
2011,123,43.672104,-70.443047,11.51,1.63,450,69,"Urban"
2011,123,43.672104,-70.443047,11.51,1.63,450,69,"Urban"
2011,112,44.444542,-69.161575,10.67,0.74,430,80,"Rural"
2011,119,44.418877,-68.106331,10.55,1.36,361,23,"Rural"
2011,158,43.597511,-70.34417,11.51,2.05,422,16,"Urban"
2011,122,43.012966,-73.649918,14.07,2.7,376,108,"Rural"
2012,91,42.285683,-84.128387,18.12,4.81,215,307,"Rural"
2012,83,42.283501,-83.771729,18.49,4.9,204,275,"Urban"
2012,82,40.866283,-73.875717,18.2,8.59,294,21,"Urban"
2012,82,40.866283,-73.875717,18.2,8.59,294,21,"Urban"
2012,95,40.866283,-73.875717,18.2,8.59,294,21,"Urban"
2012,90,42.382767,-85.343567,18.49,5.34,252,280,"Rural"
2012,80,36.902622,-76.206039,22.09,11.66,367,3,"Urban"
2012,88,36.904579,-76.19651,22.01,11.68,355,2,"Urban"
2012,80,36.90799,-76.196022,22.01,11.68,355,1,"Urban"
2012,104,43.672104,-70.443047,14.47,3.13,357,69,"Urban"
2012,108,43.672104,-70.443047,14.47,3.13,357,69,"Urban"
2012,111,43.672104,-70.443047,14.47,3.13,357,69,"Urban"
2012,103,43.739586,-70.697777,14.92,2.42,300,101,"Rural"
2012,100,44.418877,-68.106331,12.71,2.01,408,23,"Rural"
2012,119,45.195858,-70.45369,11.87,-0.28,250,360,"Rural"
2012,119,45.195858,-70.45369,11.87,-0.28,250,360,"Rural"
2012,95,43.305977,-70.782112,15.31,3.4,276,60,"Rural"
2012,95,43.305977,-70.782112,15.31,3.4,276,60,"Rural"
2012,115,43.305977,-70.782112,15.31,3.4,276,60,"Rural"
2012,104,45.660927,-68.703949,12.72,0.66,242,106,"Rural"
2012,113,44.999458,-67.422913,12.56,1.05,345,113,"Rural"
2012,79,43.012966,-73.649918,17.47,4.2,264,108,"Rural"
2012,101,43.012966,-73.649918,17.47,4.2,264,108,"Rural"
2012,101,43.012966,-73.649918,17.47,4.2,264,108,"Rural"
2012,101,43.012966,-73.649918,17.47,4.2,264,108,"Rural"
2012,116,45.403885,-68.432541,13.04,0.76,252,103,"Rural"
2012,85,44.68729,-68.591362,13.32,1.53,338,88,"Rural"
2012,85,44.68729,-68.591362,13.32,1.53,338,88,"Rural"
2012,86,35.204197,-85.916077,22.18,10.59,239,581,"Rural"
2012,86,35.204197,-85.916077,22.18,10.59,239,581,"Rural"
2012,86,35.204197,-85.916077,22.18,10.59,239,581,"Rural"
2012,119,41.820026,-69.96463,13.75,6.25,258,10,"Rural"
2012,76,41.820026,-69.96463,13.75,6.25,258,10,"Rural"
2012,83,41.820026,-69.96463,13.75,6.25,258,10,"Rural"
2012,90,41.820026,-69.96463,13.75,6.25,258,10,"Rural"
2012,98,41.820026,-69.96463,13.75,6.25,258,10,"Rural"
2012,123,41.820026,-69.96463,13.75,6.25,258,10,"Rural"
2012,134,41.820026,-69.96463,13.75,6.25,258,10,"Rural"
2012,144,41.820026,-69.96463,13.75,6.25,258,10,"Rural"
2012,119,41.820026,-69.96463,13.75,6.25,258,10,"Rural"
2012,128,41.820026,-69.96463,13.75,6.25,258,10,"Rural"
2012,115,44.931046,-68.788292,13.95,1.22,256,34,"Rural"
2012,129,44.931046,-68.788292,13.95,1.22,256,34,"Rural"
2012,103,43.634319,-72.249023,15.51,2.19,262,168,"Rural"
2012,118,43.698803,-72.292709,15.98,2.35,261,133,"Rural"
2012,90,43.714985,-72.286171,15.96,2.34,263,141,"Rural"
2012,93,43.714233,-72.261688,15.15,1.98,272,267,"Rural"
2012,117,39.699913,-78.946289,15.97,4.01,316,818,"Rural"
2012,87,37.228432,-80.421463,20.09,7.15,345,619,"Urban"
2012,118,42.611107,-71.965851,15.33,3.33,243,1138,"Rural"
2012,118,42.611107,-71.965851,15.33,3.33,243,1138,"Rural"
2012,120,44.269394,-70.102585,14.12,2.09,340,111,"Rural"
2012,110,43.522804,-70.802277,14.47,2.16,279,207,"Rural"
2012,95,44.980476,-93.142731,17.08,5.89,356,267,"Urban"
2012,95,44.980476,-93.142731,17.08,5.89,356,267,"Urban"
2012,95,44.980476,-93.142731,17.08,5.89,356,267,"Urban"
2012,144,44.980476,-93.142731,17.08,5.89,356,267,"Urban"
2012,95,44.980476,-93.142731,17.08,5.89,356,267,"Urban"
2012,95,44.980476,-93.142731,17.08,5.89,356,267,"Urban"
2013,99,42.283501,-83.771729,13.45,1.65,226,275,"Urban"
