Timestamps, Solar.Rad.W.m2,Precipitation.mm,wind.m.s,air.temp.c
2022-05-31 19:00:00,122.4,0,0.64,27.8
2022-05-31 19:15:00,65.7,0,0.77,27.2
2022-05-31 19:30:00,47.1,0,0.58,26.7
2022-05-31 19:45:00,33.9,0,0.62,25.9
2022-05-31 20:00:00,21.1,0,0.57,25
2022-05-31 20:15:00,12.7,0,0.54,24.2
2022-05-31 20:30:00,5.3,0,0.8,23.2
2022-05-31 20:45:00,0.4,0,0.64,22.5
2022-05-31 21:00:00,0,0,0.52,23.2
2022-05-31 21:15:00,0,0,0.62,22.9
2022-05-31 21:30:00,0,0,0.61,22.9
2022-05-31 21:45:00,0,0,0.55,22.8
2022-05-31 22:00:00,0,0,0.75,23.1
2022-05-31 22:15:00,0,0,0.7,22.6
2022-05-31 22:30:00,0,0,0.51,21.9
2022-05-31 22:45:00,0,0,0.59,21.6
2022-05-31 23:00:00,0,0,0.57,21.2
2022-05-31 23:15:00,0,0,0.53,20.3
2022-05-31 23:30:00,0,0,0.5,19.8
2022-05-31 23:45:00,0,0,0.84,19.8
2022-06-01 00:00:00,0,0,0.75,19.6
2022-06-01 00:15:00,0,0,0.71,19.5
2022-06-01 00:30:00,0,0,0.59,19.3
2022-06-01 00:45:00,0,0,0.68,19
2022-06-01 01:00:00,0,0,0.78,18.8
2022-06-01 01:15:00,0,0,0.6,18.6
2022-06-01 01:30:00,0,0,0.34,18.4
2022-06-01 01:45:00,0,0,0.47,18.4
2022-06-01 02:00:00,0,0,0.36,18.1
2022-06-01 02:15:00,0,0,0.44,17.8
2022-06-01 02:30:00,0,0,0.74,17.7
2022-06-01 02:45:00,0,0,0.77,17.9
2022-06-01 03:00:00,0,0,0.78,18.3
2022-06-01 03:15:00,0,0,0.74,18.2
2022-06-01 03:30:00,0,0,0.64,18.1
2022-06-01 03:45:00,0,0,0.58,17.9
2022-06-01 04:00:00,0,0,0.41,17.9
2022-06-01 04:15:00,0,0,0.36,18.2
2022-06-01 04:30:00,0,0,0.43,18.1
2022-06-01 04:45:00,0,0,0.46,18.1
2022-06-01 05:00:00,0,0,0.53,18.2
2022-06-01 05:15:00,0.3,0,0.59,17.8
2022-06-01 05:30:00,2.9,0,0.73,18.3
2022-06-01 05:45:00,14.2,0,0.8,18.4
2022-06-01 06:00:00,28,0,0.34,17.9
2022-06-01 06:15:00,31.5,0,0.31,17.8
2022-06-01 06:30:00,31.5,0,0.68,17.2
2022-06-01 06:45:00,75.8,0,0.56,17.2
2022-06-01 07:00:00,141.9,0,1.08,18.1
2022-06-01 07:15:00,203.1,0,1.15,19.1
2022-06-01 07:30:00,58.6,0,1.1,19.5
2022-06-01 07:45:00,83.3,0,1.18,18.6
2022-06-01 08:00:00,135.1,0,0.96,18.5
2022-06-01 08:15:00,164.7,0,1.25,18.6
2022-06-01 08:30:00,180.4,0,0.93,18.7
2022-06-01 08:45:00,159,0,1.02,18.9
2022-06-01 09:00:00,151.4,0,0.96,18.8
2022-06-01 09:15:00,138.8,0,1.18,18.9
2022-06-01 09:30:00,78.1,0,1.11,18.6
2022-06-01 09:45:00,30,0,0.54,18.4
2022-06-01 10:00:00,8.6,3.383,0.83,18
2022-06-01 10:15:00,9.9,5.574,1.07,16.6
2022-06-01 10:30:00,22.9,2.021,0.92,16.1
2022-06-01 10:45:00,87.9,2.617,1.44,15.8
2022-06-01 11:00:00,151.5,0,2.06,15.9
2022-06-01 11:15:00,164.1,0,1.36,15.9
2022-06-01 11:30:00,105.5,0.051,1,16.2
2022-06-01 11:45:00,64.7,0.17,1.27,16.2
2022-06-01 12:00:00,32.1,0.289,0.52,16.3
2022-06-01 12:15:00,21.5,1.174,0.73,16.4
2022-06-01 12:30:00,46.8,2.243,0.8,16.4
2022-06-01 12:45:00,39.1,0.936,0.58,16.6
2022-06-01 13:00:00,66.1,0.545,0.66,16.6
2022-06-01 13:15:00,119.6,0.374,1.22,16.9
2022-06-01 13:30:00,86.7,0,0.8,17.2
2022-06-01 13:45:00,79.4,0,1.12,17.4
2022-06-01 14:00:00,173.6,0.204,1.23,17.6
2022-06-01 14:15:00,100.1,0.017,1.41,18
2022-06-01 14:30:00,124.1,0,1.32,18.1
2022-06-01 14:45:00,33.6,0.289,1.2,18.4
2022-06-01 15:00:00,22.8,1.447,1.38,18.5
2022-06-01 15:15:00,12.1,1.766,2.16,18.4
2022-06-01 15:30:00,17.4,0.885,0.79,18.1
2022-06-01 15:45:00,50.4,0.8,1.68,18
2022-06-01 16:00:00,79.8,0.102,0.93,18
2022-06-01 16:15:00,77.3,0.221,1.62,18.2
2022-06-01 16:30:00,151,0.051,1.35,18.3
2022-06-01 16:45:00,220.1,0,1.32,18.6
2022-06-01 17:00:00,231.9,0.136,0.64,18.9
2022-06-01 17:15:00,128.6,0,0.78,19.2
2022-06-01 17:30:00,74.2,0,0.62,19.1
2022-06-01 17:45:00,21.6,0.136,0.71,19
2022-06-01 18:00:00,8.7,1.209,0.73,19
2022-06-01 18:15:00,4.6,1.311,0.63,18.8
2022-06-01 18:30:00,3.4,2.634,1.05,18.9
2022-06-01 18:45:00,8.5,0.817,0.91,19
2022-06-01 19:00:00,17.6,0.357,0.61,18.9
2022-06-01 19:15:00,28.1,0.068,0.74,19.1
2022-06-01 19:30:00,24.9,0,0.86,19.2
2022-06-01 19:45:00,12.1,0,0.91,19.1
2022-06-01 20:00:00,1.3,0,0.84,19.1
2022-06-01 20:15:00,1.5,2.328,0.85,19
2022-06-01 20:30:00,0.3,0.017,0.76,18.9
2022-06-01 20:45:00,0,0,0.38,18.8
2022-06-01 21:00:00,0,8.043,0.95,18.8
2022-06-01 21:15:00,0,0.204,0.62,18.7
2022-06-01 21:30:00,0,0.068,0.88,18.6
2022-06-01 21:45:00,0,0.068,0.61,18.6
2022-06-01 22:00:00,0,0.017,0.66,18.5
2022-06-01 22:15:00,0,0,0.32,18.2
2022-06-01 22:30:00,0,0,0.46,18.3
2022-06-01 22:45:00,0,0,0.38,18.4
2022-06-01 23:00:00,0,0,0.56,18.6
2022-06-01 23:15:00,0,0,0.82,18.9
2022-06-01 23:30:00,0,0.017,0.98,19
2022-06-01 23:45:00,0,0,1.05,19.1
2022-06-02 00:00:00,0,0,1.6,19.2
2022-06-02 00:15:00,0,0,1.43,19.1
2022-06-02 00:30:00,0,0,1.25,19.1
2022-06-02 00:45:00,0,0,1.37,19.1
2022-06-02 01:00:00,0,0,1.56,19.1
2022-06-02 01:15:00,0,0,1.6,19.1
2022-06-02 01:30:00,0,0,1.35,19.1
2022-06-02 01:45:00,0,0,1.26,19
2022-06-02 02:00:00,0,0,1.37,18.9
2022-06-02 02:15:00,0,0,1.28,18.8
2022-06-02 02:30:00,0,0,1.33,18.8
2022-06-02 02:45:00,0,0,1.39,18.6
2022-06-02 03:00:00,0,0,1.1,18.2
2022-06-02 03:15:00,0,0,0.83,17.8
2022-06-02 03:30:00,0,0,0.76,17.5
2022-06-02 03:45:00,0,0,1.05,17.5
2022-06-02 04:00:00,0,0,1.25,17.2
2022-06-02 04:15:00,0,0,0.85,16.9
2022-06-02 04:30:00,0,0,1.3,16.4
2022-06-02 04:45:00,0,0,0.56,15.5
2022-06-02 05:00:00,0,0,0.43,15
2022-06-02 05:15:00,0.3,0,1.26,15
2022-06-02 05:30:00,3.1,0,1.17,14.8
2022-06-02 05:45:00,8.7,0,1.07,14.6
2022-06-02 06:00:00,12.6,0,1.08,14.8
2022-06-02 06:15:00,39.1,0,0.99,14.8
2022-06-02 06:30:00,98,0,0.52,14.6
2022-06-02 06:45:00,141,0,0.76,15
2022-06-02 07:00:00,178.6,0,1.38,15.4
2022-06-02 07:15:00,200.5,0,1.4,15.7
2022-06-02 07:30:00,190,0,1.39,15.8
2022-06-02 07:45:00,209.1,0,1.28,15.6
2022-06-02 08:00:00,324.4,0,1.2,15.9
2022-06-02 08:15:00,456.3,0,1.03,16.7
2022-06-02 08:30:00,456.3,0,1.47,17
2022-06-02 08:45:00,631.7,0,1.16,17.8
2022-06-02 09:00:00,553,0,0.86,18
2022-06-02 09:15:00,509.6,0,1.17,17.9
2022-06-02 09:30:00,640.1,0,1.54,17.9
2022-06-02 09:45:00,489,0,1.27,17.9
2022-06-02 10:00:00,506.3,0,0.97,18
2022-06-02 10:15:00,477.6,0,0.97,17.8
2022-06-02 10:30:00,538.9,0,1.08,18
2022-06-02 10:45:00,631.4,0,0.82,18.3
2022-06-02 11:00:00,701.7,0,1.31,18.6
2022-06-02 11:15:00,520.1,0,1.16,18.5
2022-06-02 11:30:00,647.3,0,1.13,18.7
2022-06-02 11:45:00,594,0,1.41,18.9
2022-06-02 12:00:00,616.3,0,1.4,19
2022-06-02 12:15:00,650.8,0,1.59,19.2
2022-06-02 12:30:00,885.6,0,1.64,19.8
2022-06-02 12:45:00,673.9,0,1.25,19.7
2022-06-02 13:00:00,650,0,1.16,19.7
2022-06-02 13:15:00,704.3,0,1.66,20
2022-06-02 13:30:00,657.1,0,1.48,19.8
2022-06-02 13:45:00,555.3,0,1.46,19.6
2022-06-02 14:00:00,535.1,0,1.39,19.6
2022-06-02 14:15:00,550.7,0,1.54,19.6
2022-06-02 14:30:00,497.2,0,1.48,19.6
2022-06-02 14:45:00,417.6,0,1.31,19.3
2022-06-02 15:00:00,476.5,0,1.95,19.3
2022-06-02 15:15:00,669.1,0,1.26,20
2022-06-02 15:30:00,743.4,0,1.49,20.5
2022-06-02 15:45:00,802.5,0,1.3,20.8
2022-06-02 16:00:00,711,0,1.4,21.2
2022-06-02 16:15:00,618.9,0,1.76,21.1
2022-06-02 16:30:00,497.5,0,1.73,20.6
2022-06-02 16:45:00,380,0,1.66,20.3
2022-06-02 17:00:00,478.3,0,1.55,20.4
2022-06-02 17:15:00,570.7,0,2.09,20.9
2022-06-02 17:30:00,498.8,0,1.11,21
2022-06-02 17:45:00,446.3,0,1.34,20.9
2022-06-02 18:00:00,393.9,0,1.25,20.8
2022-06-02 18:15:00,348.1,0,1.07,20.8
2022-06-02 18:30:00,281.1,0,0.9,20.5
2022-06-02 18:45:00,119.8,0,0.9,19.7
2022-06-02 19:00:00,116.8,0,0.88,19.1
2022-06-02 19:15:00,95.8,0,0.99,18.8
2022-06-02 19:30:00,56.7,0,1.47,18.3
2022-06-02 19:45:00,55.6,0,0.99,18
2022-06-02 20:00:00,29.6,0,0.68,17.5
2022-06-02 20:15:00,13.9,0,0.48,17
2022-06-02 20:30:00,8.9,0,0.62,16.4
2022-06-02 20:45:00,1.8,0,0.59,16.1
2022-06-02 21:00:00,0,0,0.87,15.6
2022-06-02 21:15:00,0,0,0.93,15.6
2022-06-02 21:30:00,0,0,0.85,15.8
2022-06-02 21:45:00,0,0,0.44,15.7
2022-06-02 22:00:00,0,0,0.35,15.6
2022-06-02 22:15:00,0,0,0.51,15.6
2022-06-02 22:30:00,0,0,0.5,15.6
2022-06-02 22:45:00,0,0,0.43,15.7
2022-06-02 23:00:00,0,0,0.64,15.4
2022-06-02 23:15:00,0,0,0.52,15.5
2022-06-02 23:30:00,0,0,0.57,15.7
2022-06-02 23:45:00,0,0,0.65,15.4
2022-06-03 00:00:00,0,0,0.53,15.3
2022-06-03 00:15:00,0,0,0.75,15.2
2022-06-03 00:30:00,0,0,0.96,15.4
2022-06-03 00:45:00,0,0,1.77,15.6
2022-06-03 01:00:00,0,0,2.98,15.7
2022-06-03 01:15:00,0,0,2.09,15.4
2022-06-03 01:30:00,0,0,1.75,15.3
2022-06-03 01:45:00,0,0,1.91,15.2
2022-06-03 02:00:00,0,0,1.93,15.1
2022-06-03 02:15:00,0,0,0.94,15
2022-06-03 02:30:00,0,0,0.98,14.9
2022-06-03 02:45:00,0,0,1.12,14.8
2022-06-03 03:00:00,0,0,2.12,14.9
2022-06-03 03:15:00,0,0,1.87,14.9
2022-06-03 03:30:00,0,0,1.7,14.8
2022-06-03 03:45:00,0,0,1.4,14.6
2022-06-03 04:00:00,0,0,1.29,14.5
2022-06-03 04:15:00,0,0,0.79,14
2022-06-03 04:30:00,0,0,1.26,14
2022-06-03 04:45:00,0,0,1.32,13.8
2022-06-03 05:00:00,0,0,0.73,13.2
2022-06-03 05:15:00,0.3,0,0.7,12.5
2022-06-03 05:30:00,4.1,0,0.85,12.2
2022-06-03 05:45:00,11.2,0,1.27,12.2
2022-06-03 06:00:00,19.2,0,1.85,12.6
2022-06-03 06:15:00,68.3,0,2.3,13
2022-06-03 06:30:00,106.3,0,2.47,13.1
2022-06-03 06:45:00,139.6,0,2.4,13.4
2022-06-03 07:00:00,169.7,0,2.1,13.8
2022-06-03 07:15:00,189.7,0,2.1,14.2
2022-06-03 07:30:00,241.1,0,2.57,14.4
2022-06-03 07:45:00,298.9,0,1.84,14.8
2022-06-03 08:00:00,344.1,0,1.68,15
2022-06-03 08:15:00,387,0,1.58,15.4
2022-06-03 08:30:00,432.1,0,1.85,15.6
2022-06-03 08:45:00,469.6,0,1.78,16
2022-06-03 09:00:00,462.3,0,1.56,16.2
2022-06-03 09:15:00,508.3,0,1.52,16.6
2022-06-03 09:30:00,600.3,0,1.61,16.8
2022-06-03 09:45:00,639.8,0,1.89,17.1
2022-06-03 10:00:00,689.1,0,1.9,17.3
2022-06-03 10:15:00,685.7,0,1.69,17.3
2022-06-03 10:30:00,524.6,0,1.98,16.9
2022-06-03 10:45:00,839.5,0,2.42,17.3
2022-06-03 11:00:00,608,0,2.35,17.1
2022-06-03 11:15:00,860.1,0,2.3,17.5
2022-06-03 11:30:00,717.9,0,1.7,17.4
2022-06-03 11:45:00,687.1,0,1.84,17.4
2022-06-03 12:00:00,696.2,0,1.52,17.5
2022-06-03 12:15:00,884.6,0,1.81,17.8
2022-06-03 12:30:00,890,0,1.77,18.2
2022-06-03 12:45:00,698.9,0,1.9,17.7
2022-06-03 13:00:00,535.7,0,1.68,17.3
2022-06-03 13:15:00,611.1,0,1.74,17.4
2022-06-03 13:30:00,860.9,0,1.87,17.9
2022-06-03 13:45:00,583.5,0,1.67,17.8
2022-06-03 14:00:00,639.3,0,1.61,17.9
2022-06-03 14:15:00,741.3,0,1.99,18.2
2022-06-03 14:30:00,702.7,0,1.96,18.9
2022-06-03 14:45:00,843.9,0,2.29,19.1
2022-06-03 15:00:00,806.5,0,2.15,19.6
2022-06-03 15:15:00,723.7,0,1.98,19.6
2022-06-03 15:30:00,789.6,0,2.38,20.1
2022-06-03 15:45:00,754.1,0,2.57,20.3
2022-06-03 16:00:00,720.9,0,1.96,20.5
2022-06-03 16:15:00,686.9,0,2.08,20.6
2022-06-03 16:30:00,650.1,0,1.8,20.6
2022-06-03 16:45:00,611.1,0,1.84,20.7
2022-06-03 17:00:00,571.9,0,1.82,20.9
2022-06-03 17:15:00,529.1,0,1.49,21
2022-06-03 17:30:00,488.6,0,1.96,21
2022-06-03 17:45:00,442.5,0,1.78,20.9
2022-06-03 18:00:00,399.3,0,1.16,20.9
2022-06-03 18:15:00,354.6,0,1.73,20.6
2022-06-03 18:30:00,311,0,1.76,20.4
2022-06-03 18:45:00,266.9,0,1.62,20.2
2022-06-03 19:00:00,129.5,0,1.38,19.8
2022-06-03 19:15:00,36.7,0,1.13,19.4
2022-06-03 19:30:00,29.3,0,1.07,18.9
2022-06-03 19:45:00,25.1,0,1.25,18.3
2022-06-03 20:00:00,19.5,0,1.21,17.7
2022-06-03 20:15:00,13.3,0,0.98,16.8
2022-06-03 20:30:00,6.9,0,0.79,16.2
2022-06-03 20:45:00,1.8,0,0.84,15.1
2022-06-03 21:00:00,0,0,0.64,14.1
2022-06-03 21:15:00,0,0,0.77,13.8
2022-06-03 21:30:00,0,0,0.71,13.1
2022-06-03 21:45:00,0,0,0.55,12.2
2022-06-03 22:00:00,0,0,0.49,11.9
2022-06-03 22:15:00,0,0,0.73,12
2022-06-03 22:30:00,0,0,0.88,12.5
2022-06-03 22:45:00,0,0,0.95,12.3
2022-06-03 23:00:00,0,0,1.01,12.2
2022-06-03 23:15:00,0,0,0.86,11.8
2022-06-03 23:30:00,0,0,0.94,11.4
2022-06-03 23:45:00,0,0,0.69,11.2
2022-06-04 00:00:00,0,0,0.86,11.4
2022-06-04 00:15:00,0,0,0.76,11.5
2022-06-04 00:30:00,0,0,1.06,11.6
2022-06-04 00:45:00,0,0,0.64,11.2
2022-06-04 01:00:00,0,0,0.97,11.5
2022-06-04 01:15:00,0,0,0.81,11.4
2022-06-04 01:30:00,0,0,0.85,11.4
