"location","doy","hour","soil.moist"
"ag field",190,0,0.346900230444444
"ag field",190,1,0.345629072333333
"ag field",190,2,0.344303688
"ag field",190,3,0.343446591666667
"ag field",190,4,0.342316033222222
"ag field",190,5,0.341263800333333
"ag field",190,6,0.340691262555555
"ag field",190,7,0.340061287111111
"ag field",190,8,0.340252573444444
"ag field",190,9,0.339954136555556
"ag field",190,10,0.339365807222222
"ag field",190,11,0.338422470777778
"ag field",190,12,0.337065407444444
"ag field",190,13,0.335257893888889
"ag field",190,14,0.333404003888889
"ag field",190,15,0.331882778777778
"ag field",190,16,0.329263829111111
"ag field",190,17,0.324341629222222
"ag field",190,18,0.320967247333333
"ag field",190,19,0.318322273333333
"ag field",190,20,0.315862027222222
"ag field",190,21,0.314076565111111
"ag field",190,22,0.312558141777778
"ag field",190,23,0.310985036888889
"ag field",191,0,0.309725376555556
"ag field",191,1,0.308347209777778
"ag field",191,2,0.307173856444444
"ag field",191,3,0.306116232666667
"ag field",191,4,0.305266823888889
"ag field",191,5,0.304335037
"ag field",191,6,0.304029180222222
"ag field",191,7,0.303648110777778
"ag field",191,8,0.303736371111111
"ag field",191,9,0.303776112666667
"ag field",191,10,0.303683284666667
"ag field",191,11,0.304092165111111
"ag field",191,12,0.304326958
"ag field",191,13,0.303838582555556
"ag field",191,14,0.302986611777778
"ag field",191,15,0.301934121888889
"ag field",191,16,0.299605115777778
"ag field",191,17,0.295197650111111
"ag field",191,18,0.292232345555555
"ag field",191,19,0.289821361666667
"ag field",191,20,0.287936406555556
"ag field",191,21,0.286148611222222
"ag field",191,22,0.284781102
"ag field",191,23,0.283909608888889
"ag field",192,0,0.283014645666667
"ag field",192,1,0.282415183555556
"ag field",192,2,0.281740389333333
"ag field",192,3,0.280961749222222
"ag field",192,4,0.280512283777778
"ag field",192,5,0.280252501
"ag field",192,6,0.280213273333333
"ag field",192,7,0.279942121555555
"ag field",192,8,0.279957989666667
"ag field",192,9,0.280087526222222
"ag field",192,10,0.280284313888889
"ag field",192,11,0.281759709666667
"ag field",192,12,0.282867699
"ag field",192,13,0.283475648666667
"ag field",192,14,0.283341681
"ag field",192,15,0.282734638555556
"ag field",192,16,0.280909627444444
"ag field",192,17,0.276470867666667
"ag field",192,18,0.273419148888889
"ag field",192,19,0.270716754
"ag field",192,20,0.268541297777778
"ag field",192,21,0.266835377888889
"ag field",192,22,0.265786479
"ag field",192,23,0.264637168
"ag field",193,0,0.263708237555556
"ag field",193,1,0.262695965
"ag field",193,2,0.262199451777778
"ag field",193,3,0.261795892555556
"ag field",193,4,0.261834993666667
"ag field",193,5,0.262057776
"ag field",193,6,0.262347165666667
"ag field",193,7,0.262813442555555
"ag field",193,8,0.263571068333333
"ag field",193,9,0.265320281333333
"ag field",193,10,0.267824618888889
"ag field",193,11,0.268583106111111
"ag field",193,12,0.269021857222222
"ag field",193,13,0.269545302333333
"ag field",193,14,0.270788553222222
"ag field",193,15,0.271449033666667
"ag field",193,16,0.270820561555556
"ag field",193,17,0.267175664555556
"ag field",193,18,0.264495697
"ag field",193,19,0.262531365666667
"ag field",193,20,0.260965909333333
"ag field",193,21,0.259800177777778
"ag field",193,22,0.259086401
"ag field",193,23,0.258997484333333
"ag field",194,0,0.258656790777778
"ag field",194,1,0.258313170444444
"ag field",194,2,0.258023882666667
"ag field",194,3,0.258098252333333
"ag field",194,4,0.258090873111111
"ag field",194,5,0.258166703444444
"ag field",194,6,0.258606482444444
"ag field",194,7,0.258562748
"ag field",194,8,0.259375547666667
"ag field",194,9,0.260312742888889
"ag field",194,10,0.260872980666667
"ag field",194,11,0.261933479888889
"ag field",194,12,0.262513734888889
"ag field",194,13,0.262484497777778
"ag field",194,14,0.261605046631579
"ag field",194,15,0.263259295
"ag field",194,16,0.262465833666667
"ag field",194,17,0.259715228555556
"ag field",194,18,0.257482856333333
"ag field",194,19,0.255251653
"ag field",194,20,0.254548045444444
"ag field",194,21,0.254637679888889
"ag field",194,22,0.254846268666667
"ag field",194,23,0.254712114555556
"ag field",195,0,0.254905216666667
"ag field",195,1,0.255072178222222
"ag field",195,2,0.255234973111111
"ag field",195,3,0.255066542666667
"ag field",195,4,0.255144473777778
"ag field",195,5,0.255102718333333
"ag field",195,6,0.255367875888889
"ag field",195,7,0.255774081888889
